comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
한화케미칼,2.5,4.5,3.0,8.0,4.5,7.5,4.5,7.5
이마트,4.5,6.5,4.0,6.0,4.5,6.5,3.5,6.5
한화생명보험,4.5,6.5,4.5,6.5,4.5,6.5,4.0,6.0
한미사이언스,2.5,4.5,2.5,4.5,4.5,6.5,3.5,6.5
LG유플러스,2.5,4.5,4.0,6.0,4.0,6.0,4.0,6.0
현대글로비스,2.5,4.5,4.0,6.0,4.5,7.5,3.5,5.5
효성,4.5,6.5,4.0,7.0,3.5,5.5,4.5,6.5
씨제이,4.5,7.5,4.5,6.5,4.5,6.5,3.5,7.5
동부화재해상보험,4.5,6.5,4.0,6.0,4.5,6.5,4.5,7.5
한미약품,2.5,4.5,3.5,5.5,3.5,5.5,4.5,6.5
CJ제일제당,2.5,4.5,4.5,6.5,4.5,6.5,3.0,5.0
한국항공우주산업,4.5,7.5,3.0,5.0,4.5,7.5,4.5,7.5
현대건설,2.5,4.5,3.5,6.5,4.5,7.5,4.0,6.0
삼성중공업,2.5,4.5,4.5,7.5,3.0,5.0,3.0,5.0
BGF리테일,4.0,7.0,4.0,6.0,4.5,7.5,3.5,5.5
삼성카드,4.5,6.5,4.0,6.0,4.0,6.0,3.5,6.5
KCC,2.5,4.5,3.5,5.5,4.0,6.0,3.0,5.0
한국가스공사,2.5,4.5,4.5,6.5,4.0,6.0,3.5,6.5
엘지이노텍,4.0,6.0,4.5,6.5,4.0,6.0,4.5,6.5
엔에이치투자증권,2.5,4.5,2.5,4.5,4.0,6.0,3.5,5.5
현대해상화재보험,2.5,4.5,3.5,5.5,4.5,6.5,3.0,5.0
한샘,2.5,4.5,4.5,6.5,4.5,6.5,4.0,6.0
한국투자금융지주,3.5,5.5,3.5,6.5,4.5,7.5,4.5,7.5
씨제이대한통운,3.5,6.5,4.5,6.5,4.5,6.5,4.0,6.0
한화,2.5,4.5,2.5,5.5,3.0,5.0,3.5,5.5
팬오션,4.5,7.5,4.5,7.5,3.5,7.5,4.0,6.0
BNK금융지주,2.5,4.5,2.5,5.5,4.0,6.0,4.5,7.5
삼성증권,2.5,4.5,2.5,4.5,3.0,5.0,4.0,6.0
대한항공,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
대우건설,2.5,4.5,3.5,6.5,3.5,5.5,3.5,5.5
대림산업,4.0,6.0,4.0,7.0,3.5,5.5,4.0,6.0
지에스리테일,4.0,6.0,4.0,6.0,4.5,7.5,3.0,5.0
메리츠종합금융증권,2.5,4.5,2.5,4.5,3.5,6.5,4.5,6.5
두산,2.5,4.5,4.0,7.0,4.5,6.5,3.5,5.5
롯데제과,3.0,5.0,2.5,4.5,3.5,5.5,4.5,6.5
현대산업개발,4.5,7.5,4.5,6.5,3.5,6.5,3.5,5.5
OCI,2.5,4.5,2.5,4.5,3.5,5.5,4.0,6.0
포스코대우,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
동서,2.5,6.5,2.5,4.5,3.5,5.5,3.5,5.5
유한양행,4.0,6.0,4.0,6.0,4.0,6.0,4.0,6.0
LS,2.5,4.5,3.0,5.0,4.5,6.5,4.5,6.5
오뚜기,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
금호석유화학,4.0,7.0,4.0,6.0,3.5,5.5,4.0,6.0
만도,4.0,6.0,4.5,7.5,4.0,6.0,4.0,6.0
호텔신라,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
영풍,2.5,4.5,3.0,5.0,4.0,6.0,4.0,6.0
녹십자,4.5,6.5,4.5,6.5,4.0,6.0,4.5,7.5
제일기획,2.5,4.5,3.0,5.0,4.0,6.0,4.0,6.0
농심,2.5,4.5,3.5,5.5,3.5,5.5,4.5,6.5
현대백화점,2.5,4.5,4.0,6.0,4.0,6.0,3.5,5.5
GS건설,4.5,6.5,4.5,7.5,4.5,7.5,4.5,6.5
현대미포조선,4.5,7.5,2.5,5.5,4.0,6.0,4.0,6.0
한국타이어월드와이드,2.5,4.5,2.5,4.5,4.0,6.0,3.5,5.5
한화테크윈,4.5,6.5,3.5,5.5,3.5,5.5,3.5,5.5
코오롱인더스트리,2.5,4.5,2.5,4.5,4.0,6.0,4.5,7.5
한전KPS,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
일진머티리얼즈,4.0,7.0,4.0,7.0,3.5,5.5,3.5,5.5
영진약품,2.5,4.5,3.5,7.5,3.5,5.5,4.0,6.0
두산중공업,2.5,4.5,2.5,4.5,3.0,5.0,4.5,6.5
신세계,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
롯데칠성음료,2.5,4.5,2.5,4.5,4.0,6.0,3.0,5.0
SK네트웍스,4.0,7.0,3.5,5.5,4.0,6.0,4.0,6.0
두산인프라코어,3.0,5.0,3.5,5.5,3.5,5.5,3.5,5.5
하이트진로,2.5,4.5,2.5,4.5,4.5,6.5,4.0,6.0
LS산전,2.5,4.5,2.5,4.5,3.0,5.0,4.0,6.0
현대위아,2.5,4.5,2.5,4.5,3.5,5.5,4.0,6.0
녹십자홀딩스,2.5,4.5,4.5,6.5,4.0,6.0,3.0,5.0
대한유화,3.5,7.5,4.5,7.5,3.5,5.5,3.5,5.5
엘아이지넥스원,2.5,4.5,4.0,8.0,3.5,5.5,3.5,5.5
SKC,3.5,7.5,4.5,7.5,4.5,7.5,4.0,6.0
현대그린푸드,2.5,4.5,4.5,7.5,3.5,5.5,4.5,6.5
SK케미칼,2.5,4.5,4.0,6.0,4.5,6.5,4.0,6.0
현대로템,2.5,4.5,2.5,4.5,4.5,6.5,3.5,6.5
현대홈쇼핑,4.5,7.5,4.5,7.5,4.0,6.0,4.5,6.5
풍산,3.5,6.5,4.5,6.5,3.5,5.5,3.5,5.5
영원무역,2.5,4.5,4.5,6.5,4.5,6.5,3.5,5.5
씨제이씨지브이,2.5,4.5,4.5,7.5,3.5,5.5,3.5,5.5
이노션,2.5,4.5,3.5,7.5,4.5,6.5,4.5,6.5
태광산업,4.5,7.5,2.5,4.5,4.0,6.0,3.5,6.5
한국콜마,2.5,4.5,3.5,7.5,4.0,6.0,4.0,6.0
쌍용양회공업,2.5,4.5,4.5,6.5,4.0,6.0,3.5,5.5
넥센타이어,2.5,4.5,2.5,4.5,4.5,7.5,4.5,7.5
동원시스템즈,2.5,4.5,2.5,4.5,3.0,5.0,3.0,5.0
대웅제약,2.5,4.5,2.5,4.5,3.5,5.5,4.0,6.0
현대엘리베이터,4.5,6.5,4.5,7.5,3.5,5.5,4.5,6.5
SPC삼립,2.5,4.5,3.5,6.5,3.5,5.5,3.5,5.5
쿠쿠전자,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
LG상사,2.5,4.5,2.5,4.5,4.0,6.0,3.5,5.5
세아베스틸,3.5,6.5,3.5,6.5,4.0,6.0,4.0,6.0
동국제강,2.5,4.5,4.0,7.0,3.5,5.5,3.5,5.5
코스맥스,2.5,4.5,3.5,6.5,4.5,6.5,4.5,7.5
후성,4.0,7.0,3.5,5.5,3.5,5.5,3.5,5.5
롯데정밀화학,4.0,6.0,2.5,4.5,3.5,5.5,3.5,5.5
락앤락,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
종근당,2.5,4.5,3.0,5.0,4.5,7.5,4.5,7.5
한세실업,2.5,4.5,4.5,6.5,4.5,6.5,4.5,6.5
휴켐스,2.5,4.5,3.0,5.0,3.5,6.5,4.0,6.0
부광약품,2.5,5.5,2.5,4.5,3.0,5.0,3.0,5.0
삼양사,2.5,4.5,3.0,6.0,4.0,6.0,4.5,6.5
한일시멘트,2.5,4.5,3.5,5.5,4.0,6.0,4.5,6.5
AK홀딩스,4.0,6.0,4.0,8.0,4.0,6.0,3.0,5.0
한솔케미칼,2.5,4.5,2.5,4.5,4.0,6.0,4.5,6.5
삼양홀딩스,4.5,7.5,4.5,7.5,3.5,6.5,4.5,6.5
롯데푸드,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
엘지하우시스,2.5,4.5,4.0,7.0,4.0,6.0,4.0,6.0
JW중외제약,3.0,5.0,3.0,5.0,3.5,5.5,3.5,5.5
금호타이어,4.0,8.0,4.5,7.5,3.5,7.5,3.5,5.5
한섬,2.5,4.5,4.5,6.5,3.5,5.5,3.5,7.5
한국단자공업,2.5,4.5,3.0,5.0,4.5,7.5,4.0,6.0
LF,4.5,6.5,2.5,4.5,4.5,7.5,4.5,7.5
쌍용자동차,4.5,6.5,4.5,7.5,4.0,6.0,4.5,6.5
동원F&B,2.5,4.5,4.0,7.0,3.0,5.0,3.0,5.0
동아쏘시오홀딩스,2.5,4.5,4.5,6.5,4.0,6.0,4.0,6.0
대교,2.5,4.5,2.5,4.5,4.0,6.0,3.5,5.5
한올바이오파마,3.0,5.0,2.5,4.5,4.5,6.5,4.5,6.5
S&T모티브,2.5,4.5,4.0,6.0,4.0,6.0,3.5,5.5
한국전력기술,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
동아에스티,2.5,4.5,2.5,4.5,4.5,7.5,3.5,5.5
한라홀딩스,3.5,5.5,2.5,4.5,4.5,6.5,3.5,7.5
일양약품,3.5,6.5,2.5,4.5,3.5,7.5,3.5,6.5
동부하이텍,2.5,4.5,4.5,6.5,3.0,5.0,3.0,5.0
신도리코,4.5,6.5,2.5,4.5,4.5,6.5,3.5,5.5
세아제강,2.5,4.5,3.0,6.0,3.0,5.0,3.5,6.5
고려제강,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
에스엘,2.5,5.5,3.5,5.5,4.5,7.5,3.5,7.5
대덕전자,2.5,4.5,4.0,6.0,4.0,6.0,4.5,7.5
빙그레,4.5,6.5,3.0,6.0,3.5,7.5,3.5,7.5
동아타이어공업,2.5,6.5,4.0,6.0,3.5,5.5,3.5,6.5
무학,2.5,4.5,4.5,7.5,3.5,5.5,4.5,7.5
한국쉘석유,4.5,7.5,3.0,5.0,3.5,5.5,4.0,6.0
세방전지,4.5,6.5,4.0,8.0,3.5,5.5,4.5,6.5
오리온홀딩스,2.5,4.5,4.5,6.5,4.5,6.5,3.5,7.5
남양유업,2.5,4.5,4.0,6.0,4.5,7.5,4.0,6.0
동양,4.5,6.5,4.5,6.5,4.0,6.0,4.5,6.5
남해화학,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
에스비에스,3.5,5.5,4.5,7.5,4.5,7.5,3.5,5.5
광동제약,2.5,4.5,2.5,4.5,4.0,6.0,4.5,7.5
유니드,4.0,6.0,4.5,6.5,3.5,5.5,3.5,5.5
한진중공업,2.5,4.5,3.5,5.5,4.5,7.5,4.0,6.0
현대리바트,2.5,4.5,3.0,7.0,3.5,5.5,3.5,5.5
팜스코,2.5,4.5,4.0,6.0,3.5,5.5,4.0,6.0
한솔테크닉스,4.5,6.5,4.5,6.5,4.0,6.0,3.5,5.5
경방,2.5,4.5,4.0,6.0,4.0,6.0,4.0,6.0
보령제약,2.5,4.5,2.5,4.5,3.5,5.5,3.0,5.0
