comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
SKC,4.5,6.5,4.5,7.5,4.5,6.5,4.5,7.5
현대그린푸드,2.5,4.5,4.5,6.5,4.0,6.0,4.0,6.0
SK케미칼,2.5,4.5,3.0,6.0,3.5,5.5,3.5,5.5
현대로템,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
현대홈쇼핑,3.0,5.0,4.0,8.0,4.0,6.0,4.0,6.0
풍산,4.5,6.5,4.0,6.0,4.5,7.5,4.5,7.5
영원무역,2.5,4.5,4.0,6.0,3.5,6.5,3.5,5.5
씨제이씨지브이,2.5,4.5,3.5,6.5,4.5,7.5,4.0,6.0
이노션,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
태광산업,3.5,5.5,4.5,6.5,4.5,6.5,3.5,5.5
한국콜마,2.5,4.5,3.0,5.0,4.0,6.0,4.5,6.5
쌍용양회공업,4.5,6.5,4.5,6.5,4.0,6.0,4.0,6.0
넥센타이어,2.5,4.5,2.5,4.5,4.5,7.5,4.5,7.5
동원시스템즈,2.5,4.5,4.0,8.0,3.5,5.5,3.5,5.5
대웅제약,2.5,4.5,3.0,7.0,4.5,6.5,4.5,7.5
현대엘리베이터,2.5,5.5,4.0,6.0,3.5,5.5,3.5,5.5
SPC삼립,2.5,4.5,3.0,5.0,3.5,5.5,3.5,5.5
쿠쿠전자,2.5,4.5,2.5,5.5,4.0,6.0,4.5,6.5
LG상사,2.5,4.5,4.0,6.0,3.5,5.5,3.5,5.5
세아베스틸,4.5,6.5,4.0,6.0,4.5,6.5,4.5,6.5
동국제강,3.5,5.5,3.0,5.0,4.0,6.0,3.5,5.5
코스맥스,4.0,8.0,3.5,5.5,4.5,7.5,3.5,5.5
후성,4.5,6.5,4.5,6.5,3.5,5.5,4.0,6.0
롯데정밀화학,4.5,7.5,4.5,6.5,3.5,5.5,4.0,6.0
락앤락,2.5,4.5,4.0,6.0,4.0,6.0,4.0,6.0
종근당,2.5,4.5,2.5,5.5,4.5,6.5,4.5,7.5
한세실업,2.5,4.5,3.5,5.5,4.0,6.0,4.0,6.0
휴켐스,3.5,5.5,3.5,6.5,3.5,5.5,4.0,6.0
부광약품,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
삼양사,2.5,4.5,4.0,6.0,4.5,7.5,4.5,6.5
한일시멘트,4.5,6.5,2.5,4.5,4.5,7.5,4.5,7.5
AK홀딩스,4.5,6.5,3.5,5.5,3.5,6.5,4.5,6.5
한솔케미칼,3.5,6.5,2.5,4.5,4.5,7.5,4.5,6.5
삼양홀딩스,4.0,7.0,4.5,6.5,4.0,6.0,4.0,6.0
롯데푸드,2.5,4.5,2.5,6.5,4.5,7.5,4.5,7.5
엘지하우시스,2.5,4.5,3.5,7.5,3.5,5.5,3.5,5.5
JW중외제약,4.0,8.0,4.0,8.0,4.5,6.5,4.5,7.5
금호타이어,3.0,5.0,4.0,7.0,4.5,7.5,4.5,6.5
한섬,2.5,4.5,2.5,4.5,4.0,6.0,3.5,5.5
한국단자공업,2.5,4.5,4.5,6.5,4.5,6.5,4.5,7.5
LF,4.5,6.5,4.0,6.0,4.5,7.5,4.5,7.5
쌍용자동차,4.0,6.0,4.0,8.0,4.0,6.0,4.0,6.0
동원F&B,2.5,4.5,2.5,6.5,3.5,5.5,3.5,5.5
동아쏘시오홀딩스,2.5,4.5,3.0,5.0,4.0,6.0,4.5,6.5
대교,2.5,4.5,4.5,7.5,4.5,7.5,4.5,6.5
한올바이오파마,4.5,7.5,4.0,6.0,3.5,5.5,4.5,7.5
S&T모티브,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
한국전력기술,2.5,4.5,4.5,7.5,4.5,6.5,4.5,6.5
동아에스티,2.5,4.5,2.5,5.5,4.5,7.5,3.5,5.5
한라홀딩스,4.5,7.5,4.5,6.5,4.5,6.5,4.5,7.5
일양약품,4.5,6.5,3.5,6.5,4.0,6.0,4.0,6.0
동부하이텍,4.5,6.5,4.0,6.0,4.5,6.5,4.0,6.0
신도리코,3.0,8.0,3.5,5.5,4.5,7.5,4.5,7.5
세아제강,4.5,7.5,4.5,6.5,4.5,6.5,4.5,7.5
고려제강,2.5,4.5,2.5,4.5,4.5,7.5,3.5,7.5
에스엘,3.0,7.0,2.5,5.5,4.5,6.5,4.0,6.0
대덕전자,2.5,4.5,2.5,4.5,4.5,7.5,4.5,7.5
빙그레,4.5,6.5,4.0,7.0,4.0,6.0,4.0,6.0
동아타이어공업,3.5,5.5,3.0,5.0,4.5,7.5,4.0,6.0
무학,2.5,4.5,3.0,5.0,4.5,7.5,4.5,6.5
한국쉘석유,4.0,6.0,4.0,6.0,3.5,5.5,4.0,6.0
세방전지,3.5,5.5,4.5,7.5,3.5,5.5,3.5,5.5
오리온홀딩스,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
남양유업,2.5,4.5,3.0,6.0,4.5,6.5,4.0,6.0
동양,3.5,5.5,4.5,7.5,4.5,6.5,4.0,6.0
남해화학,3.5,5.5,2.5,4.5,3.5,5.5,4.5,6.5
에스비에스,2.5,4.5,4.0,6.0,3.5,5.5,4.5,6.5
광동제약,2.5,4.5,3.5,5.5,4.5,7.5,4.0,6.0
유니드,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
한진중공업,3.5,5.5,3.0,6.0,4.5,6.5,3.5,5.5
현대리바트,2.5,4.5,4.5,6.5,3.5,5.5,4.5,6.5
팜스코,2.5,4.5,2.5,4.5,4.5,6.5,4.0,6.0
한솔테크닉스,4.0,6.0,4.0,6.0,4.0,6.0,4.5,7.5
경방,4.5,6.5,4.0,6.0,4.5,7.5,4.5,7.5
보령제약,2.5,4.5,3.0,5.0,3.5,6.5,4.0,6.0
