comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
호텔신라,2.5,4.5,4.5,6.5,3.0,5.0,3.0,5.0
영풍,2.5,4.5,4.0,7.0,4.5,7.5,3.5,5.5
녹십자,4.5,6.5,4.5,6.5,4.5,6.5,4.5,6.5
제일기획,2.5,4.5,4.0,6.0,4.0,6.0,4.0,6.0
농심,2.5,4.5,4.0,6.0,3.5,5.5,3.5,6.5
현대백화점,2.5,4.5,2.5,4.5,4.0,6.0,4.0,6.0
GS건설,4.5,7.5,2.5,4.5,3.5,5.5,3.5,6.5
현대미포조선,4.5,7.5,4.0,6.0,4.0,6.0,3.5,5.5
한국타이어월드와이드,4.5,6.5,4.5,6.5,4.5,6.5,4.5,6.5
한화테크윈,3.5,7.5,3.0,5.0,3.5,5.5,3.5,5.5
코오롱인더스트리,4.0,6.0,4.5,7.5,3.5,5.5,3.5,5.5
한전KPS,2.5,4.5,3.5,6.5,4.0,6.0,4.0,6.0
일진머티리얼즈,4.5,7.5,4.0,6.0,3.5,5.5,3.5,7.5
영진약품,2.5,4.5,4.5,7.5,4.5,6.5,4.5,7.5
두산중공업,4.5,7.5,4.5,6.5,4.5,7.5,4.5,7.5
신세계,4.5,6.5,3.0,5.0,4.0,6.0,3.5,5.5
롯데칠성음료,2.5,4.5,4.0,6.0,4.5,7.5,3.5,5.5
SK네트웍스,4.0,6.0,3.5,5.5,3.5,5.5,3.5,5.5
두산인프라코어,4.5,7.5,2.5,4.5,4.0,6.0,3.5,7.5
하이트진로,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
LS산전,4.5,6.5,3.0,5.0,3.5,5.5,4.5,6.5
현대위아,2.5,4.5,2.5,5.5,3.5,5.5,3.5,5.5
녹십자홀딩스,2.5,4.5,4.5,6.5,4.5,7.5,3.5,5.5
대한유화,2.5,4.5,3.5,6.5,4.5,7.5,4.5,6.5
엘아이지넥스원,2.5,4.5,4.0,7.0,3.5,5.5,4.5,7.5
SKC,4.5,6.5,3.0,5.0,4.5,6.5,4.5,6.5
현대그린푸드,2.5,4.5,4.0,6.0,3.5,5.5,3.5,5.5
SK케미칼,2.5,4.5,3.5,6.5,3.5,5.5,3.5,5.5
현대로템,4.5,7.5,2.5,5.5,4.0,6.0,3.5,6.5
현대홈쇼핑,3.5,6.5,3.5,7.5,3.5,5.5,3.5,5.5
풍산,3.0,8.0,4.5,6.5,3.5,5.5,3.5,5.5
영원무역,2.5,4.5,4.0,7.0,3.5,5.5,4.5,6.5
씨제이씨지브이,2.5,4.5,2.5,4.5,3.5,5.5,3.5,6.5
이노션,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
태광산업,3.5,5.5,2.5,4.5,4.0,6.0,3.5,5.5
한국콜마,2.5,4.5,2.5,4.5,4.0,6.0,4.0,6.0
쌍용양회공업,2.5,4.5,2.5,4.5,4.0,6.0,4.5,6.5
넥센타이어,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
동원시스템즈,2.5,4.5,2.5,4.5,3.5,5.5,4.5,6.5
대웅제약,2.5,4.5,3.5,7.5,3.5,5.5,3.5,5.5
현대엘리베이터,2.5,5.5,4.0,6.0,4.5,7.5,3.5,5.5
SPC삼립,2.5,4.5,3.5,5.5,4.0,6.0,4.0,6.0
쿠쿠전자,2.5,4.5,4.0,7.0,4.0,6.0,3.5,5.5
LG상사,2.5,4.5,2.5,4.5,4.0,6.0,3.0,6.0
세아베스틸,3.0,5.0,3.0,5.0,3.0,5.0,3.0,5.0
동국제강,4.5,7.5,3.0,5.0,4.0,6.0,4.0,6.0
코스맥스,4.5,6.5,4.5,7.5,4.5,6.5,3.5,5.5
후성,2.5,4.5,4.5,7.5,3.5,5.5,4.0,6.0
롯데정밀화학,3.5,5.5,3.0,5.0,3.5,5.5,3.5,5.5
락앤락,2.5,4.5,3.5,5.5,4.5,7.5,4.0,6.0
종근당,2.5,4.5,3.5,5.5,4.5,7.5,3.5,6.5
한세실업,2.5,4.5,3.5,6.5,4.0,6.0,4.5,7.5
휴켐스,2.5,4.5,4.0,6.0,4.0,6.0,3.5,5.5
부광약품,2.5,6.5,3.0,5.0,3.5,5.5,3.5,5.5
삼양사,2.5,4.5,4.0,7.0,4.5,6.5,4.5,6.5
한일시멘트,2.5,4.5,2.5,5.5,4.5,6.5,3.5,5.5
AK홀딩스,2.5,7.5,3.0,6.0,4.0,6.0,3.5,5.5
한솔케미칼,4.0,6.0,3.0,5.0,3.5,5.5,4.5,7.5
삼양홀딩스,2.5,4.5,2.5,5.5,4.5,6.5,4.5,6.5
롯데푸드,2.5,4.5,4.0,7.0,4.0,6.0,4.0,6.0
엘지하우시스,4.5,7.5,4.5,7.5,4.0,6.0,3.5,6.5
JW중외제약,3.5,5.5,3.5,6.5,3.5,5.5,3.5,5.5
금호타이어,2.5,5.5,3.5,7.5,4.0,6.0,4.0,6.0
한섬,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
한국단자공업,2.5,4.5,4.5,6.5,4.5,7.5,4.5,7.5
LF,3.5,5.5,3.0,6.0,4.5,7.5,4.5,6.5
쌍용자동차,2.5,4.5,4.0,6.0,3.5,7.5,4.0,6.0
동원F&B,2.5,4.5,4.0,7.0,3.5,5.5,3.5,5.5
동아쏘시오홀딩스,2.5,4.5,4.5,7.5,3.5,5.5,3.5,5.5
대교,2.5,4.5,2.5,4.5,4.0,6.0,4.5,7.5
한올바이오파마,4.5,6.5,3.5,5.5,3.5,5.5,3.5,5.5
S&T모티브,2.5,4.5,4.0,7.0,3.5,5.5,3.5,5.5
한국전력기술,2.5,4.5,3.5,5.5,3.5,5.5,3.5,6.5
동아에스티,2.5,4.5,2.5,5.5,4.0,6.0,4.0,6.0
한라홀딩스,4.5,7.5,2.5,4.5,4.5,6.5,4.5,7.5
일양약품,2.5,4.5,4.5,7.5,4.5,6.5,3.5,7.5
동부하이텍,2.5,4.5,3.5,5.5,4.0,6.0,4.0,6.0
신도리코,3.5,5.5,4.0,6.0,4.5,6.5,3.5,6.5
세아제강,2.5,4.5,3.5,5.5,3.0,5.0,3.0,5.0
고려제강,4.0,7.0,4.0,6.0,4.5,6.5,4.5,7.5
에스엘,3.5,7.5,3.0,5.0,3.5,5.5,3.5,5.5
대덕전자,4.5,6.5,4.5,6.5,4.0,6.0,4.0,6.0
빙그레,2.5,4.5,3.5,5.5,4.5,7.5,4.0,6.0
동아타이어공업,4.5,7.5,4.5,7.5,4.5,6.5,4.5,6.5
무학,2.5,4.5,2.5,4.5,4.0,6.0,4.5,6.5
한국쉘석유,4.0,6.0,3.5,5.5,4.0,6.0,4.0,6.0
세방전지,3.5,5.5,4.5,6.5,4.0,6.0,4.0,6.0
오리온홀딩스,2.5,4.5,2.5,4.5,4.5,7.5,3.5,5.5
남양유업,2.5,4.5,2.5,4.5,3.5,5.5,4.5,6.5
동양,3.0,6.0,3.0,5.0,3.5,5.5,3.5,5.5
