comName,fit1_from,fit1_to,fit2_from,fit2_to,meg1_from,meg1_to,meg2_from,meg2_to
이마트,4.0,8.0,3.0,5.0,4.5,6.5,4.5,6.5
한화생명보험,2.5,4.5,2.5,4.5,3.5,5.5,3.5,5.5
한미사이언스,4.5,7.5,4.5,6.5,4.0,6.0,4.0,6.0
LG유플러스,4.0,6.0,3.0,8.0,4.5,7.5,4.5,6.5
현대글로비스,2.5,4.5,2.5,5.5,3.5,5.5,4.5,6.5
효성,4.5,6.5,4.0,7.0,4.5,6.5,4.0,6.0
씨제이,2.5,4.5,3.5,5.5,3.5,5.5,3.5,5.5
동부화재해상보험,3.0,7.0,3.0,5.0,4.0,6.0,3.5,5.5
한미약품,2.5,4.5,3.0,5.0,4.0,6.0,4.0,6.0
CJ제일제당,4.5,7.5,4.0,6.0,3.5,5.5,3.5,5.5
한국항공우주산업,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
현대건설,4.5,6.5,2.5,4.5,4.5,6.5,4.5,7.5
삼성중공업,2.5,4.5,2.5,4.5,4.0,6.0,4.0,6.0
BGF리테일,4.5,7.5,4.5,6.5,3.5,5.5,3.5,5.5
삼성카드,3.5,7.5,4.0,6.0,3.5,5.5,3.5,5.5
KCC,2.5,4.5,4.0,7.0,3.0,5.0,3.0,5.0
한국가스공사,2.5,4.5,3.0,8.0,3.5,5.5,3.5,5.5
엘지이노텍,4.5,6.5,2.5,4.5,3.0,5.0,3.5,5.5
엔에이치투자증권,3.5,5.5,4.0,6.0,3.5,5.5,3.5,5.5
현대해상화재보험,2.5,4.5,2.5,4.5,3.5,5.5,4.5,7.5
한샘,2.5,4.5,4.5,7.5,4.5,6.5,4.5,7.5
한국투자금융지주,4.5,6.5,4.5,7.5,3.5,5.5,4.5,6.5
씨제이대한통운,4.5,7.5,4.5,6.5,4.5,7.5,3.5,7.5
한화,4.5,6.5,2.5,4.5,4.0,6.0,4.5,6.5
팬오션,3.5,6.5,3.0,5.0,4.0,6.0,3.0,5.0
BNK금융지주,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
삼성증권,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
대한항공,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
대우건설,2.5,4.5,4.5,6.5,3.5,5.5,3.5,5.5
